area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,location,year,price
7420,4,2,3,yes,no,yes,no,yes,2,Urban,2019,13300000
8960,4,4,4,yes,no,no,no,yes,3,Urban,2020,12250000
9960,3,2,2,yes,no,yes,no,no,2,Semi-Urban,2018,12250000
7500,4,2,2,yes,no,yes,no,yes,3,Urban,2021,12215000
7420,4,1,2,yes,yes,yes,no,yes,2,Urban,2022,11410000
7500,3,3,1,yes,no,yes,no,yes,2,Semi-Urban,2020,10850000
8580,4,3,4,yes,no,no,no,yes,2,Urban,2021,10150000
16200,5,3,2,yes,no,no,no,no,0,Rural,2017,10150000
8100,4,1,2,yes,no,yes,no,yes,2,Urban,2019,9870000
5750,3,2,4,yes,yes,no,no,yes,1,Semi-Urban,2018,9800000
13200,3,1,2,yes,no,yes,no,yes,2,Urban,2020,9800000
6000,4,3,2,yes,yes,yes,no,yes,2,Semi-Urban,2021,9681000
6550,4,2,2,yes,no,no,no,yes,1,Urban,2019,9310000
3500,4,2,2,yes,no,no,no,yes,2,Rural,2018,9240000
7800,3,2,2,yes,no,yes,no,no,2,Semi-Urban,2022,9240000
6000,4,1,2,yes,no,yes,no,yes,2,Urban,2021,9100000
6600,4,2,2,yes,no,yes,no,yes,1,Urban,2020,9100000
8500,3,2,4,yes,no,no,no,yes,2,Urban,2022,8960000
4600,3,2,2,yes,no,yes,no,no,2,Rural,2017,8890000
6420,3,2,2,yes,no,yes,no,yes,1,Semi-Urban,2021,8855000
4320,3,1,2,yes,no,no,no,yes,2,Rural,2018,8750000
7155,3,2,1,yes,yes,yes,no,yes,2,Semi-Urban,2020,8680000
8050,3,1,1,yes,no,yes,no,no,1,Urban,2019,8645000
4560,3,2,2,yes,no,no,no,yes,1,Rural,2021,8645000
8800,3,2,2,yes,no,yes,no,yes,2,Urban,2022,8575000
6540,4,2,2,yes,no,yes,no,yes,2,Semi-Urban,2020,8540000
6000,3,2,1,yes,no,yes,no,no,1,Semi-Urban,2018,8463000
8875,3,1,1,yes,no,no,no,no,1,Urban,2017,8400000
7950,3,1,1,yes,no,yes,no,no,2,Urban,2019,8400000
5500,3,2,2,yes,no,yes,no,yes,1,Semi-Urban,2021,8295000
7475,3,2,2,yes,no,yes,no,yes,2,Urban,2022,8290000
